STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,CDSD,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,FZF0,FZF0_ATTRIBUTES,FZF1,FZF1_ATTRIBUTES,FZF2,FZF2_ATTRIBUTES,FZF3,FZF3_ATTRIBUTES,FZF5,FZF5_ATTRIBUTES,FZF6,FZF6_ATTRIBUTES,FZF7,FZF7_ATTRIBUTES,FZF8,FZF8_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES
USW00093837,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,2016,8.7,W,3949,3949,W,99,W,61,W,0,W,1,W,0,W,312,W,125,W,31,"W,0124, ",5.37," ,W,1007, ",101,"W,0710,+",,,,,,,,,31,"W,0124",,,,,,,589,2,589,W,36.1," ,W",73.9,W,82.5,W,65.3,W,340,W,330,W,53,W,68,W
USW00093837,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,8,435,W,,,,,,,,,,,,,,,,
USW00093837,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,2018,8.3,W,3612,3612,W,141,W,88,W,0,W,6,W,0,W,296,W,107,W,27,"W,0118, ",1.8," ,W,1203, ",97,"W,0916,+",,,,,,,,,32,"W,0119",27,"W,0118",,,,,,,,,45.2," ,W",72.5,W,80.8,W,64.3,W,330,W,330,W,40.9,W,51,W
USW00093837,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,2019,8.7,W,3888,3888,W,134,W,77,W,0,W,0,W,0,W,307,W,102,W,36,"W,0130, ",3.61," ,W,1007, ",101,"W,0527, ",,,,,,,,,,,,,,,,,692,7,692,W,39.78," ,W",74.1,W,82.3,W,65.9,W,320,W,250,W,42.9,W,53,W
USW00093837,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,2020,8.9,W,3841,3841,W,146,W,94,W,0,W,1,W,0,W,312,W,100,W,31,"W,1226, ",3.37," ,W,0607, ",99,"W,0711, ",31,"W,1226",,,,,,,,,,,,,,,500,6,500,W,52.11," ,W",73.7,W,81.9,W,65.5,W,210,W,210,W,59.1,W,76.1,W
USW00093837,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,2021,8.3,W,3159,3159,W,125,W,83,W,0,W,0,W,0,W,295,W,60,W,36,"W,0203,+",4.05," ,W,0814, ",97,"W,0505, ",,,,,,,,,,,,,,,,,881,4,881,W,56.32," ,W",71.5,W,79.6,W,63.4,W,330,W,110,W,40,W,51,W
USW00093837,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,2022,8.7,W,3575,3575,W,126,W,75,W,0,W,4,W,0,W,302,W,97,W,26,"W,1224, ",2.64," ,W,1110, ",103,"W,0623, ",26,"W,1224",26,"W,1224",,,,,31,"W,0130",,,,,,,714,5,714,W,45.35," ,W",72.6,W,81,W,64.2,W,350,W,10,W,42.9,W,55,W
USW00093837,"JACKSONVILLE NAS, FL US",30.23333,-81.66667,6.1,2023,8.7,W,3808,3808,W,122,W,78,W,0,W,0,W,0,W,317,W,101,W,37,"W,1230,+",3.23," ,W,1217, ",102,"W,0811,+",,,,,,,,,,,,,,,,,544,2,544,W,51.56," ,W",74,W,82.5,W,65.6,W,350,W,280,W,44.1,W,62,W
USW00012832,"APALACHICOLA AIRPORT, FL US",29.72681,-85.02481,5.5,2016,7.2,W,2939,2939,W,91,W,62,W,0,W,5,W,0,W,293,W,74,W,28,"W,0124, ",3.47," ,W,0901, ",96,"W,0608, ",,,,,,,,,32,"W,0210",,,,,,,946,5,946,W,48.58," ,W",70.1,W,79.1,W,61.1,W,360,W,250,W,38,W,55,W
USW00012832,"APALACHICOLA AIRPORT, FL US",29.72681,-85.02481,5.5,2017,7.2,W,2880,2880,W,103,W,68,W,0,W,3,W,0,W,311,W,50,W,29,"W,0108, ",4.83," ,W,0620, ",95,"W,0818,+",30,"W,1211",,,,,,,31,"W,0109",,,,,,,704,0,704,W,46.52," ,W",70.8,W,79.6,W,62.1,W,20,W,,,36.9,W,,
USW00012832,"APALACHICOLA AIRPORT, FL US",29.72681,-85.02481,5.5,2018,7.4,W,3049,3049,W,131,W,83,W,0,W,12,W,0,W,275,W,69,W,22,"W,0118, ",2.81," ,W,1201, ",96,"W,0628,+",31,"W,1212",,,,,,,27,"W,0119",27,"W,0119",22,"W,0118",,,1138,5,1138,W,56.7," ,W",70,W,78.4,W,61.5,W,160,W,,,63.1,W,,
USW00012832,"APALACHICOLA AIRPORT, FL US",29.72681,-85.02481,5.5,2019,7.2,W,2965,2965,W,111,W,71,W,0,W,3,W,0,W,285,W,73,W,30,"W,0121, ",3.42," ,W,0601, ",98,"W,0917, ",32,"W,1113",,,,,,,31,"W,0130",,,,,,,1153,5,1153,W,45.77," ,W",70.2,W,78.8,W,61.5,W,200,W,210,W,40,W,59.1,W
USW00012832,"APALACHICOLA AIRPORT, FL US",29.72681,-85.02481,5.5,2020,,,,,,105,W,65,W,,,,,,,,,,,,,7.95," ,W,0927, ",,,,,,,,,,,,,,,,,,,,,,,58.11," ,W",,,,,,,,,,,,,,
USW00012832,"APALACHICOLA AIRPORT, FL US",29.72681,-85.02481,5.5,2021,6.9,W,2648,2648,W,121,W,91,W,0,W,2,W,0,W,289,W,24,W,31,"W,0110, ",3.71," ,W,0816, ",95,"W,0723, ",,,,,,,,,31,"W,0110",,,,,,,1126,4,1126,W,75.73," ,W",69.5,W,77.7,W,61.2,W,150,W,140,W,51,W,68,W
USW00012832,"APALACHICOLA AIRPORT, FL US",29.72681,-85.02481,5.5,2022,6.9,W,2797,2797,W,112,W,73,W,0,W,11,W,0,W,286,W,54,W,21,"W,1224, ",5.89," ,W,0909, ",100,"W,0623, ",27,"W,1223",27,"W,1223",21,"W,1224",,,30,"W,0214",26,"W,0130",,,,,1048,0,1048,W,64," ,W",69.4,W,78.4,W,60.5,W,260,W,250,W,36.9,W,50.1,W
USW00012832,"APALACHICOLA AIRPORT, FL US",29.72681,-85.02481,5.5,2023,7.2,W,2965,2965,W,98,W,71,W,0,W,1,W,0,W,296,W,67,W,29,"W,0115, ",4.06," ,W,0902, ",97,"W,0818,+",,,,,,,,,29,"W,0115",,,,,,,878,7,878,W,58.83," ,W",70.7,W,79.3,W,62.2,W,260,W,260,W,42.9,W,55.9,W
USW00012876,"WINTER HAVEN GILBERT AIRPORT, FL US",28.06137,-81.75684,43.5,2016,6.3,W,3939,3939,W,119,W,75,W,0,W,0,W,0,W,336,W,126,W,33,"W,0124, ",2.08," ,W,0831, ",99,"W,0712, ",,,,,,,,,,,,,,,,,357,4,357,W,45.52," ,W",74.6,W,84.4,W,64.9,W,210,W,290,W,36,W,49,W
USW00012876,"WINTER HAVEN GILBERT AIRPORT, FL US",28.06137,-81.75684,43.5,2017,,,,,,102,W,69,W,,,,,,,,,,,,,6.21," ,W,0910, ",,,,,,,,,,,,,,,,,,,194,0,194,W,39.07," ,W",,,,,,,,,,,,,,
USW00012876,"WINTER HAVEN GILBERT AIRPORT, FL US",28.06137,-81.75684,43.5,2018,7.2,W,4143,4143,W,128,W,89,W,0,W,1,W,0,W,337,W,137,W,27,"W,0118, ",4," ,W,0729, ",96,"W,0927,+",,,,,,,,,27,"W,0118",27,"W,0118",,,,,,,,,54.43," ,W",75.1,W,84.5,W,65.6,W,100,W,180,W,32,W,42.9,W
USW00012876,"WINTER HAVEN GILBERT AIRPORT, FL US",28.06137,-81.75684,43.5,2019,7.2,W,4468,4468,W,134,W,91,W,0,W,0,W,0,W,340,W,164,W,40,"W,0121, ",3.54," ,W,0725, ",100,"W,0625, ",,,,,,,,,,,,,,,,,331,2,331,W,53.83," ,W",76.5,W,85.9,W,67.1,W,190,W,180,W,42.9,W,55.9,W
USW00012876,"WINTER HAVEN GILBERT AIRPORT, FL US",28.06137,-81.75684,43.5,2020,7.4,W,4390,4390,W,137,W,83,W,0,W,0,W,0,W,343,W,146,W,34,"W,0122, ",2.98," ,W,0928, ",98,"W,0629,+",,,,,,,,,,,,,,,,,274,4,274,W,45.81," ,W",76,W,85.4,W,66.7,W,310,W,320,W,36,W,48.1,W
USW00012876,"WINTER HAVEN GILBERT AIRPORT, FL US",28.06137,-81.75684,43.5,2021,6.9,W,4062,4062,W,117,W,65,W,0,W,0,W,0,W,344,W,137,W,37,"W,0204, ",2.53," ,W,1105, ",98,"W,0820, ",,,,,,,,,,,,,,,,,424,7,424,W,39.06," ,W",75.3,W,84.9,W,65.7,W,320,W,290,W,38.9,W,51,W
USW00012876,"WINTER HAVEN GILBERT AIRPORT, FL US",28.06137,-81.75684,43.5,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,6,287,W,,,,,,,,,,,,,,,,
USW00012876,"WINTER HAVEN GILBERT AIRPORT, FL US",28.06137,-81.75684,43.5,2023,7.2,W,4064,4064,W,114,W,74,W,0,W,0,W,0,W,342,W,127,W,37,"W,0115, ",3.23," ,W,0911, ",99,"W,0812,+",,,,,,,,,,,,,,,,,,,,,46.42," ,W",75.4,W,85.2,W,65.6,W,230,W,230,W,36.9,W,55,W
USW00012873,"ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US",27.91255,-82.68555,0.1,2016,8.3,W,4020,4020,W,105,W,69,W,0,W,0,W,0,W,326,W,112,W,38,"W,0125, ",4.67," ,W,0831, ",97,"W,0823, ",,,,,,,,,,,,,,,,,328,0,328,W,45.48," ,W",75,W,83,W,67,W,190,W,220,W,40,W,51,W
USW00012873,"ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US",27.91255,-82.68555,0.1,2017,7.8,W,4216,4216,W,121,W,81,W,0,W,0,W,0,W,346,W,122,W,35,"W,0108, ",3.82," ,W,0910, ",97,"W,0822, ",,,,,,,,,,,,,,,,,188,5,188,W,51.49," ,W",76,W,84.4,W,67.6,W,330,W,360,W,53,W,72.9,W
USW00012873,"ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US",27.91255,-82.68555,0.1,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,7,361,W,,,,,,,,,,,,,,,,
USW00012873,"ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US",27.91255,-82.68555,0.1,2019,8.1,W,4071,4071,W,114,W,78,W,0,W,0,W,0,W,334,W,110,W,41,"W,0129, ",3.61," ,W,0709, ",96,"W,0626, ",,,,,,,,,,,,,,,,,,,,,62.78," ,W",75.4,W,83.3,W,67.5,W,290,W,250,W,36,W,49,W
USW00012873,"ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US",27.91255,-82.68555,0.1,2020,8.5,W,4522,4522,W,116,W,71,W,0,W,0,W,0,W,339,W,126,W,37,"W,0122, ",5.88," ,W,1111, ",97,"W,0904,+",,,,,,,,,,,,,,,,,228,6,228,W,53.51," ,W",76.6,W,84.5,W,68.7,W,150,W,160,W,40.9,W,57.9,W
USW00012873,"ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US",27.91255,-82.68555,0.1,2021,8.1,W,4115,4115,W,116,W,81,W,0,W,0,W,0,W,337,W,109,W,42,"W,0204,+",2.96," ,W,0707, ",96,"W,0818,+",,,,,,,,,,,,,,,,,349,7,349,W,50.19," ,W",75.5,W,83.4,W,67.6,W,110,W,110,W,40.9,W,52.1,W
USW00012873,"ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US",27.91255,-82.68555,0.1,2022,8.1,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,W,20,W,45,W,74,W
USW00012873,"ST PETERSBURG CLEARWATER INTERNATIONAL AIRPORT, FL US",27.91255,-82.68555,0.1,2023,8.3,W,4152,4152,W,97,W,56,W,0,W,0,W,0,W,331,W,106,W,38,"W,0116, ",2.15," ,W,0731, ",98,"W,0813, ",,,,,,,,,,,,,,,,,261,8,261,W,30.64," ,W",75.8,W,84.1,W,67.6,W,190,W,180,W,42.9,W,61.1,W
USW00013884,"CRESTVIEW FAA AP, FL US",30.77715,-86.51938,47.1,2016,,,2688,2688,W,110,W,72,W,0,W,37,W,0,W,292,W,119,W,22,"W,0124, ",3.43," ,W,0223, ",100,"W,0720,+",32,"W,1111",27,"W,1121",,,,,30,"W,0322",27,"W,0211",23,"W,0210",,,1365,2,1365,W,57.23," ,W",68.1,W,81,W,55.3,W,,,,,,,,
USW00013884,"CRESTVIEW FAA AP, FL US",30.77715,-86.51938,47.1,2017,4.5,W,2597,2597,W,124,W,84,W,0,W,22,W,0,W,312,W,95,W,20,"W,0109, ",6.16," ,W,1008, ",98,"W,0820, ",30,"W,1120",25,"W,1210",,,,,27,"W,0316",27,"W,0316",20,"W,0109",,,1100,1,1100,W,80.39," ,W",68.5,W,80.7,W,56.3,W,270,W,270,W,38,W,55,W
USW00013884,"CRESTVIEW FAA AP, FL US",30.77715,-86.51938,47.1,2018,4.5,W,2760,2760,W,145,W,105,W,0,W,37,W,0,W,283,W,115,W,18,"W,0118, ",4.31," ,W,0211, ",99,"W,0513, ",31,"W,1115",27,"W,1128",,,,,27,"W,0315",27,"W,0315",19,"W,0119",19,"W,0119",1626,5,1626,W,78.87," ,W",68,W,79.8,W,56.2,W,250,W,30,W,38.9,W,52.1,W
USW00013884,"CRESTVIEW FAA AP, FL US",30.77715,-86.51938,47.1,2019,4.3,W,2941,2941,W,,,,,0,W,25,W,0,W,292,W,134,W,26,"W,1113,+",,,102,"W,0918,+",30,"W,1112",26,"W,1113",,,,,32,"W,0323",26,"W,0126",,,,,1547,4,1547,W,,,68.9,W,81.4,W,56.5,W,260,W,250,W,36.9,W,51,W
USW00013884,"CRESTVIEW FAA AP, FL US",30.77715,-86.51938,47.1,2020,4.5,W,2756,2756,W,137,W,78,W,0,W,31,W,0,W,304,W,98,W,21,"W,0122, ",6.77," ,W,0916, ",99,"W,0720, ",32,"W,1124",23,"W,1202",23,"W,1202",,,30,"W,0229",27,"W,0228",21,"W,0122",,,1377,0,1377,W,70.98," ,W",68.9,W,80.8,W,56.9,W,200,W,200,W,40,W,61.1,W
USW00013884,"CRESTVIEW FAA AP, FL US",30.77715,-86.51938,47.1,2021,4,W,2555,2555,W,138,W,95,W,0,W,28,W,0,W,294,W,90,W,25,"W,0203,+",6.08," ,W,0424, ",99,"W,0615,+",30,"W,1114",,,,,,,31,"W,0403",27,"W,0217",,,,,1599,2,1599,W,70.98," ,W",67.8,W,79.6,W,56.1,W,330,W,,,36.9,W,,
USW00013884,"CRESTVIEW FAA AP, FL US",30.77715,-86.51938,47.1,2022,3.8,W,2653,2653,W,118,W,81,W,0,W,42,W,0,W,294,W,108,W,17,"W,1226, ",2.81," ,W,0318, ",104,"W,0623, ",28,"W,1020",27,"W,1219",22,"W,1223",18,"W,1224",29,"W,0314",25,"W,0313",23,"W,0214",,,1497,9,1497,W,54.97," ,W",68,W,80.9,W,55.1,W,270,W,290,W,51,W,77,W
USW00013884,"CRESTVIEW FAA AP, FL US",30.77715,-86.51938,47.1,2023,,,2753,2753,W,117,W,82,W,0,W,26,W,0,W,297,W,106,W,24,"W,0115, ",3.44," ,W,0713, ",103,"W,0827,+",32,"W,1101",26,"W,1102",,,,,28,"W,0321",27,"W,0320",,,,,1196,7,1196,W,50.83," ,W",69,W,81.6,W,56.4,W,300,W,190,W,36,W,63.1,W
USW00012871,"SARASOTA BRADENTON AIRPORT, FL US",27.40146,-82.55863,5.3,2016,8.1,W,4124,4124,W,99,W,68,W,0,W,0,W,0,W,337,W,124,W,34,"W,0125, ",7.76," ,W,0831, ",99,"W,0823, ",,,,,,,,,,,,,,,,,334,4,334,W,49.11," ,W",75.2,W,84.1,W,66.3,W,260,W,170,W,40.9,W,61.1,W
USW00012871,"SARASOTA BRADENTON AIRPORT, FL US",27.40146,-82.55863,5.3,2017,8.3,W,3733,3733,W,100,W,65,W,0,W,0,W,0,W,346,W,87,W,36,"W,0108, ",8.12," ,W,0826, ",97,"W,0519,+",,,,,,,,,,,,,,,,,215,6,215,W,65.02," ,W",74.6,W,83.4,W,65.7,W,360,W,340,W,49,W,70,W
USW00012871,"SARASOTA BRADENTON AIRPORT, FL US",27.40146,-82.55863,5.3,2018,8.3,W,3857,3857,W,113,W,77,W,0,W,1,W,0,W,334,W,105,W,30,"W,0118, ",4.18," ,W,1220, ",95,"W,0805, ",,,,,,,,,30,"W,0118",,,,,,,403,9,403,W,48.72," ,W",74.4,W,83.2,W,65.7,W,110,W,290,W,40,W,53.9,W
USW00012871,"SARASOTA BRADENTON AIRPORT, FL US",27.40146,-82.55863,5.3,2019,8.1,W,4304,4304,W,111,W,84,W,0,W,0,W,0,W,344,W,133,W,40,"W,0129, ",3.29," ,W,0816, ",99,"W,0626, ",,,,,,,,,,,,,,,,,286,8,286,W,50.1," ,W",76.2,W,84.8,W,67.5,W,200,W,200,W,38,W,66,W
USW00012871,"SARASOTA BRADENTON AIRPORT, FL US",27.40146,-82.55863,5.3,2020,8.5,W,4406,4406,W,119,W,76,W,0,W,0,W,0,W,346,W,117,W,37,"W,0122, ",6.41," ,W,1111, ",98,"W,0716, ",,,,,,,,,,,,,,,,,212,6,212,W,57.46," ,W",76.2,W,84.3,W,68.2,W,150,W,310,W,40,W,55.9,W
USW00012871,"SARASOTA BRADENTON AIRPORT, FL US",27.40146,-82.55863,5.3,2021,8.1,W,3826,3826,W,98,W,69,W,0,W,0,W,0,W,344,W,87,W,41,"W,0204, ",2.68," ,W,0727, ",97,"W,0705, ",,,,,,,,,,,,,,,,,311,7,311,W,46.71," ,W",74.8,W,83.1,W,66.4,W,160,W,120,W,38.9,W,53.9,W
USW00012871,"SARASOTA BRADENTON AIRPORT, FL US",27.40146,-82.55863,5.3,2022,8.1,W,3864,3864,W,115,W,75,W,0,W,0,W,0,W,340,W,90,W,34,"W,0131,+",6.67," ,W,0928, ",96,"W,0820,+",,,,,,,,,,,,,,,,,265,0,265,W,54.31," ,W",74.7,W,83.2,W,66.1,W,10,W,10,W,53,W,86.1,W
USW00012871,"SARASOTA BRADENTON AIRPORT, FL US",27.40146,-82.55863,5.3,2023,8.5,W,4269,4269,W,83,W,41,W,0,W,0,W,0,W,346,W,117,W,38,"W,0116,+",2.47," ,W,0417, ",99,"W,0705, ",,,,,,,,,,,,,,,,,251,6,251,W,27.15," ,W",76.1,W,84.5,W,67.7,W,180,W,180,W,48.1,W,70,W
USC00088824,"TARPON SPGS SEWAGE PLANT, FL US",28.15225,-82.7538,1.8,2016,,,3723,3723,7,105,7,60,7,0,7,0,7,0,7,326,7,88,7,36,"7,0125,+",5.25," ,7,0902, ",97,"7,0711, ",,,,,,,,,,,,,,,,,438,5,438,7,53.38," ,7",73.8,7,81.7,7,66,7,,,,,,,,
USC00088824,"TARPON SPGS SEWAGE PLANT, FL US",28.15225,-82.7538,1.8,2017,,,3720,3720,7,122,7,76,7,0,7,0,7,0,7,343,7,99,7,33,"7,0108, ",7.13," ,7,0829, ",96,"7,0809,+",,,,,,,,,,,,,,,,,275,7,275,7,52.43," ,7",74.3,7,82.3,7,66.3,7,,,,,,,,
USC00088824,"TARPON SPGS SEWAGE PLANT, FL US",28.15225,-82.7538,1.8,2018,,,3912,3912,7,126,7,89,7,0,7,2,7,0,7,318,7,112,7,28,"7,0118, ",4.51," ,7,1220, ",96,"7,0816, ",,,,,,,,,28,"7,0118",28,"7,0118",,,,,536,6,536,7,63.62," ,7",74,7,82,7,66.1,7,,,,,,,,
USC00088824,"TARPON SPGS SEWAGE PLANT, FL US",28.15225,-82.7538,1.8,2019,,,3981,3981,7,110,7,87,7,0,7,0,7,0,7,330,7,110,7,39,"7,0121,+",3.6," ,7,0816, ",96,"7,0714,+",,,,,,,,,,,,,,,,,465,6,465,7,67.48," ,7",74.9,7,82.8,7,67,7,,,,,,,,
USC00088824,"TARPON SPGS SEWAGE PLANT, FL US",28.15225,-82.7538,1.8,2020,,,4084,4084,7,97,7,79,7,0,7,8,7,0,7,333,7,104,7,24,"7,1226, ",5.2," ,7,0606, ",97,"7,0626, ",30,"7,1202",26,"7,1218",24,"7,1226",,,,,,,,,,,351,0,351,7,50.58," ,7",74.7,7,83.3,7,66,7,,,,,,,,
USC00088824,"TARPON SPGS SEWAGE PLANT, FL US",28.15225,-82.7538,1.8,2021,,,3351,3351,7,101,7,72,7,0,7,0,7,0,7,322,7,86,7,35,"7,0204, ",2.64," ,7,0901, ",96,"7,0628, ",,,,,,,,,,,,,,,,,688,2,688,7,52.21," ,7",72.6,7,82.2,7,63,7,,,,,,,,
USC00088824,"TARPON SPGS SEWAGE PLANT, FL US",28.15225,-82.7538,1.8,2022,,,3182,3182,7,96,7,70,7,0,7,3,7,0,7,332,7,114,7,24,"7,1225,+",2.72," ,7,1110, ",99,"7,0825, ",24,"7,1224",24,71224,24,"7,1224",,,,,,,,,,,527,6,527,7,44.35," ,7",72.2,7,83.4,7,60.9,7,,,,,,,,
USC00088824,"TARPON SPGS SEWAGE PLANT, FL US",28.15225,-82.7538,1.8,2023,,,3483,3483,7,65,7,52,7,0,7,3,7,0,7,335,7,93,7,30,"7,1231, ",2," ,7,1216,+",99,"7,0821, ",30,"7,1231",,,,,,,31,"7,0115",,,,,,,485,3,485,7,25.5," ,7",73.2,7,82.8,7,63.6,7,,,,,,,,
USC00086767,"PALM COAST 6 NE, FL US",29.6319,-81.2061,1.5,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,8,498,7,,,,,,,,,,,,,,,,
USC00086767,"PALM COAST 6 NE, FL US",29.6319,-81.2061,1.5,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
